question_id,row_type,model,prompt,cutoff,cutoff_label,n_retained,n_cell_usable,n_excluded_unusable_confidence,retained_fraction,pooled_mae,ci_lo,ci_hi,ci_method,n_boot_replicates_defined,boot_replicates_undefined_fraction,ci_degenerate,share_retained_0_20_bin,unfiltered_share_0_20_bin,row_type_perbin_change,representative_cutoff,representative_cutoff_retained_fraction,bin,n_before,mae_before,ci_lo_before,ci_hi_before,ci_method_before,n_boot_replicates_defined_before,ci_degenerate_before,n_after,mae_after,ci_lo_after,ci_hi_after,ci_method_after,n_boot_replicates_defined_after,ci_degenerate_after
Q5,single_configuration,Llama-4-Maverick,Grid-Overlay,0.85,0.85,655.0,1155.0,0.0,0.5670995670995671,2.884198473282443,2.481289260755515,3.414397212805505,BCa,10000.0,0.0,False,0.9145038167938931,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Grid-Overlay,0.9,0.9,653.0,1155.0,0.0,0.5653679653679654,2.882312404287902,2.4773118060881254,3.4145418722989525,BCa,10000.0,0.0,False,0.9142419601837672,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Grid-Overlay,0.95,0.95,422.0,1155.0,0.0,0.36536796536796534,0.6299763033175356,0.5365225549490957,0.7524827063636476,BCa,10000.0,0.0,False,0.995260663507109,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Grid-Overlay,1.0,1,389.0,1155.0,0.0,0.3367965367965368,0.5634961439588688,0.4717937857782003,0.6852214876360551,BCa,10000.0,0.0,False,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Point-Hint,,retain_all,1154.0,1154.0,1.0,1.0,6.464341421143848,5.959299875739498,7.013438409554095,BCa,10000.0,0.0,False,0.8076256499133448,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Point-Hint,0.5,0.5,1154.0,1154.0,1.0,1.0,6.464341421143848,5.959299875739498,7.013438409554095,BCa,10000.0,0.0,False,0.8076256499133448,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Point-Hint,0.7,0.7,1153.0,1154.0,1.0,0.9991334488734835,6.468213356461406,5.963363207694446,7.019543164959545,BCa,10000.0,0.0,False,0.8074588031222897,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Point-Hint,0.75,0.75,1146.0,1154.0,1.0,0.9930675909878682,6.420462478184992,5.927212338556374,6.974882223594623,BCa,10000.0,0.0,False,0.8089005235602095,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Point-Hint,0.8,0.8,1144.0,1154.0,1.0,0.9913344887348353,6.419886363636364,5.92562664307653,6.974876150562632,BCa,10000.0,0.0,False,0.8094405594405595,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Point-Hint,0.85,0.85,475.0,1154.0,1.0,0.41161178509532065,1.9377894736842107,1.5814295661146835,2.4042327476862093,BCa,10000.0,0.0,False,0.9178947368421052,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Point-Hint,0.9,0.9,472.0,1154.0,1.0,0.4090121317157712,1.8537076271186441,1.5086075307713473,2.282425169855222,BCa,10000.0,0.0,False,0.9173728813559322,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Point-Hint,0.95,0.95,410.0,1154.0,1.0,0.35528596187175043,0.7895121951219511,0.6417687446351165,0.990220767805547,BCa,10000.0,0.0,False,0.9902439024390244,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Point-Hint,0.99,0.99,341.0,1154.0,1.0,0.2954939341421144,0.5533724340175953,0.44671790575074316,0.7257740032116454,BCa,10000.0,0.0,False,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Point-Hint,1.0,1,338.0,1154.0,1.0,0.292894280762565,0.556508875739645,0.44892361721463925,0.7298571830250017,BCa,10000.0,0.0,False,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Short,,retain_all,1155.0,1155.0,0.0,1.0,6.116320346320347,5.632985225154974,6.6617520630848235,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Short,0.8,0.8,1155.0,1155.0,0.0,1.0,6.116320346320347,5.632985225154974,6.6617520630848235,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Short,0.85,0.85,493.0,1155.0,0.0,0.42683982683982685,2.0150101419878297,1.6162888745179451,2.644487060486137,BCa,10000.0,0.0,False,0.920892494929006,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Short,0.9,0.9,492.0,1155.0,0.0,0.42597402597402595,2.006910569105691,1.6065775166788065,2.638195373469896,BCa,10000.0,0.0,False,0.9227642276422764,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Short,0.95,0.95,382.0,1155.0,0.0,0.3307359307359307,0.5489528795811519,0.4382991790552082,0.7212654106826383,BCa,10000.0,0.0,False,0.9973821989528796,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Maverick,Short,1.0,1,190.0,1155.0,0.0,0.1645021645021645,0.26684210526315794,0.19646637479651832,0.3689523930495654,BCa,10000.0,0.0,False,1.0,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Detailed,,retain_all,1135.0,1135.0,20.0,1.0,9.069471365638766,8.211931380135947,10.099837386022807,BCa,10000.0,0.0,False,0.8193832599118943,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Detailed,0.5,0.5,1135.0,1135.0,20.0,1.0,9.069471365638766,8.211931380135947,10.099837386022807,BCa,10000.0,0.0,False,0.8193832599118943,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Detailed,0.7,0.7,1117.0,1135.0,20.0,0.9841409691629956,8.975470008952552,8.114155841566095,9.993621095373987,BCa,10000.0,0.0,False,0.8200537153088631,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Detailed,0.75,0.75,1054.0,1135.0,20.0,0.9286343612334802,8.708349146110058,7.81664703407089,9.765820154963327,BCa,10000.0,0.0,False,0.8282732447817837,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Detailed,0.8,0.8,1051.0,1135.0,20.0,0.9259911894273127,8.648049476688866,7.745789224147011,9.697853053435113,BCa,10000.0,0.0,False,0.829686013320647,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Detailed,0.85,0.85,575.0,1135.0,20.0,0.5066079295154186,8.263565217391303,6.861161747208162,9.971515442303799,BCa,10000.0,0.0,False,0.8626086956521739,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Detailed,0.9,0.9,573.0,1135.0,20.0,0.5048458149779735,8.198167539267017,6.796746333327011,9.915200238193835,BCa,10000.0,0.0,False,0.8656195462478184,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Detailed,0.95,0.95,491.0,1135.0,20.0,0.4325991189427313,6.582281059063137,5.202643194567791,8.293349471487774,BCa,10000.0,0.0,False,0.8961303462321792,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Detailed,1.0,1,366.0,1135.0,20.0,0.3224669603524229,3.405464480874317,2.352602321598544,5.015605332745447,BCa,10000.0,0.0,False,0.9480874316939891,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Grid-Overlay,,retain_all,1155.0,1155.0,0.0,1.0,6.694415584415584,6.163452974988168,7.291560889538245,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Grid-Overlay,0.5,0.5,1155.0,1155.0,0.0,1.0,6.694415584415584,6.163452974988168,7.291560889538245,BCa,10000.0,0.0,False,0.8077922077922078,0.8077922077922078,,,,,,,,,,,,,,,,,,
Q5,single_configuration,Llama-4-Scout,Grid-Overlay,0.7,0.7,1109.0,1155.0,0.0,0.9601731601731601,6.7503606853020734,6.20358513931007,7.362245468957545,BCa,10000.0,0.0,False,0.8052299368800722,0.8077922077922078,,,,,,,,,,,,,,,,,,
