model,bin,mae,n,mae_ci_lo,mae_ci_hi,mean_bias,mean_bias_ci_lo,mean_bias_ci_hi,mean_bias_ci_method,axis,prompt
Llama-4-Maverick,0-20,4.586655948553055,933,4.108930281272714,5.125705625478739,3.7534297963558414,3.2410622524590407,4.333995349557028,BCa,combo,Short
Llama-4-Maverick,20-40,11.935185185185185,108,10.101851851851851,14.212962962962964,5.694444444444445,2.9098663178893935,8.540088670023561,BCa,combo,Short
Llama-4-Maverick,40-60,13.630434782608695,46,11.195652173913043,16.347826086956523,-1.065217391304348,-5.891304347826087,3.5402375523798306,BCa,combo,Short
Llama-4-Maverick,60-80,11.526315789473685,38,9.394736842105264,14.447368421052632,-2.1578947368421053,-6.879117720178132,1.9210526315789473,BCa,combo,Short
Llama-4-Maverick,80-100,14.366666666666667,30,11.433333333333334,17.966666666666665,-13.833333333333334,-17.633333333333333,-10.466666666666667,BCa,combo,Short
Llama-4-Maverick,0-20,5.176152197213291,933,4.675377913913562,5.735166248622488,4.2871918542336545,3.761875389151621,4.889858829526211,BCa,combo,Point-Hint
Llama-4-Maverick,20-40,9.930555555555555,108,8.268518518518519,11.89299364944983,4.949074074074074,2.6666666666666665,7.534087469957041,BCa,combo,Point-Hint
Llama-4-Maverick,40-60,12.41304347826087,46,10.326086956521738,14.73913043478261,-3.6739130434782608,-7.673913043478261,0.5217391304347826,BCa,combo,Point-Hint
Llama-4-Maverick,60-80,13.526315789473685,38,10.631578947368421,17.228212390948677,-7.157894736842105,-12.447368421052632,-2.473684210526316,BCa,combo,Point-Hint
Llama-4-Maverick,80-100,15.833333333333334,30,12.933333333333334,19.766666666666666,-15.833333333333334,-19.8,-12.966666666666667,BCa,combo,Point-Hint
Qwen-2.5,0-20,6.346248660235799,933,5.8551467392241054,6.937620578778135,5.548713826366559,5.0048333089513255,6.140826955150339,BCa,combo,Grid-Overlay
Qwen-2.5,20-40,9.49074074074074,108,8.074074074074074,11.351851851851851,6.712962962962963,4.7407407407407405,8.907407407407407,BCa,combo,Grid-Overlay
Qwen-2.5,40-60,11.478260869565217,46,9.478260869565217,13.506487683068965,-4.6521739130434785,-8.021739130434783,-0.9130434782608695,BCa,combo,Grid-Overlay
Qwen-2.5,60-80,15.763157894736842,38,11.789473684210526,20.446275434601038,-13.868421052631579,-19.026315789473685,-9.078947368421053,BCa,combo,Grid-Overlay
Qwen-2.5,80-100,15.666666666666666,30,13.1,18.266666666666666,-15.666666666666666,-18.366666666666667,-13.233333333333333,BCa,combo,Grid-Overlay
Llama-4-Maverick,0-20,4.736495176848874,933,4.288258776556505,5.276126660537411,3.808092175777063,3.30708435202172,4.360584219958683,BCa,combo,Grid-Overlay
Llama-4-Maverick,20-40,8.078703703703704,108,6.833333333333333,9.601851851851851,2.3194444444444446,0.37037037037037035,4.4247941893800595,BCa,combo,Grid-Overlay
Llama-4-Maverick,40-60,13.021739130434783,46,10.459540691812462,15.58695652173913,-6.804347826086956,-10.73913043478261,-2.652173913043478,BCa,combo,Grid-Overlay
Llama-4-Maverick,60-80,16.105263157894736,38,12.473684210526315,20.105263157894736,-12.789473684210526,-17.789473684210527,-7.894736842105263,BCa,combo,Grid-Overlay
Llama-4-Maverick,80-100,17.133333333333333,30,13.833333333333334,21.133333333333333,-17.133333333333333,-21.333333333333332,-13.833333333333334,BCa,combo,Grid-Overlay
Qwen-2.5,0-20,5.7122722400857455,933,5.249824570431323,6.260501287259163,4.7169882100750264,4.1980525569212706,5.286824876369106,BCa,combo,Short
Qwen-2.5,20-40,8.712962962962964,108,7.407407407407407,10.36111111111111,3.4722222222222223,1.3425925925925926,5.583333333333333,BCa,combo,Short
Qwen-2.5,40-60,12.956521739130435,46,10.543478260869565,15.663670354623402,-7.043478260869565,-11.08695652173913,-3.0434782608695654,BCa,combo,Short
Qwen-2.5,60-80,19.18421052631579,38,15.0,23.94736842105263,-16.763157894736842,-22.18421052631579,-11.473684210526315,BCa,combo,Short
Qwen-2.5,80-100,13.666666666666666,30,10.666666666666666,17.3,-13.666666666666666,-17.266666666666666,-10.633333333333333,BCa,combo,Short
Llama-4-Scout,0-20,4.584405144694534,933,4.163451232583065,5.081354710432196,3.685905680600214,3.240210739863012,4.227784491886509,BCa,combo,Short
Llama-4-Scout,20-40,10.277777777777779,108,8.37037037037037,12.768518518518519,3.3333333333333335,0.7142205277463031,6.361111111111111,BCa,combo,Short
Llama-4-Scout,40-60,17.217391304347824,46,14.58695652173913,20.2206662868733,-5.956521739130435,-11.108695652173912,-0.17164660079873537,BCa,combo,Short
Llama-4-Scout,60-80,20.55263157894737,38,16.394736842105264,24.63157894736842,-4.657894736842105,-12.630793739553782,2.789473684210526,BCa,combo,Short
Llama-4-Scout,80-100,10.766666666666667,30,6.333333333333333,19.78184226877353,-8.5,-17.966666666666665,-3.6666666666666665,BCa,combo,Short
Qwen-2.5,0-20,4.659431939978564,933,4.2639666915042245,5.114611236633857,3.608199356913183,3.1707395498392286,4.08257789688025,BCa,combo,Point-Hint
Qwen-2.5,20-40,7.592592592592593,108,6.4907407407407405,9.009272927734822,1.1111111111111112,-0.7062658015049477,3.0185185185185186,BCa,combo,Point-Hint
